loss_image,loss_tabular,loss_fusion,loss_total
0.0047306550127408425,0.016685335190067947,0.0037311626321705634,0.025147152834979352
0.004627280116078273,0.016839091510874888,0.0028638649484113523,0.024330236575364515
0.004530038760928869,0.01800487869099653,0.0026294266062726504,0.02516434405819805
0.004431986401942723,0.015622448389296443,0.0028841532701397014,0.02293858806137887
0.004336988481880759,0.015381750838377678,0.002892814331181041,0.022611553651439478
0.004244222058997065,0.016529243066055587,0.002248932231915292,0.023022397356967945
0.004151825236730683,0.01587592802129304,0.002829255140198399,0.02285700839822212
0.004062067553450028,0.014364190315424453,0.0025982280459628804,0.02102448591483736
0.00397761568996854,0.016114102281422238,0.0023400413224300832,0.022431759293820863
0.003897655357676166,0.013878457404497703,0.0026550537788145425,0.02043116654098841
0.0038205623703415864,0.014850943543746267,0.0028134067205194866,0.021484912634607337
0.0037456210805887984,0.014291183539088611,0.0025538453465577186,0.02059064996623513
0.003673908090516327,0.0134624629128896,0.002240390529706795,0.01937676153311272
0.0036053916081413926,0.01331260635342545,0.002041109026392008,0.018959106987958853
0.003539235155364528,0.01270081255653106,0.0018930007028752126,0.0181330484147708
0.0034755165477526927,0.013340125016111244,0.0018685761013120872,0.018684217665176025
0.0034141557584054676,0.012693791221797677,0.002352749402166626,0.018460696382369773
0.0033552142594396256,0.011834598864565586,0.0022221728635921536,0.017411985987597366
0.0032982157459214385,0.010765226489448552,0.0020794251557267195,0.01614286739109671
0.003242104120493857,0.011709089660792964,0.0020246868265035196,0.01697588060779034
0.0031865985562866865,0.009227921924862477,0.0017752085858422362,0.0141897290669914
0.003133694996684282,0.01005551893277206,0.0015948844635309996,0.014784098392987341
0.003083375306401602,0.01059601960392682,0.0020279536670195337,0.015707348577347954
0.003033976981602222,0.010942031167605188,0.0015833260611250576,0.015559334210332468
0.0029858227497625753,0.010252865553476972,0.001569766473646477,0.014808454776886025
0.0029393001367266913,0.008888214673218743,0.0014637411573631214,0.013291255967308556
0.002894392006786608,0.009962995664540444,0.0015600421021829747,0.014417429773510028
0.0028506823017319816,0.009031192021740549,0.001473008106720038,0.01335488243019257
0.00280811721722125,0.00934848947243271,0.002013085412619779,0.01416969210227374
0.00276673825541254,0.010481254978676153,0.0015711463320394017,0.014819139566128094
0.0027263777246169093,0.008997391066510957,0.0015792739560326504,0.013303042747160517
0.002687411890925484,0.009446765141625296,0.0014527828614785351,0.013586959894029315
0.002649128804653154,0.009990957377532668,0.0015193177319247693,0.014159403914110592
0.002612645389232277,0.008274084636410621,0.0014069319741436789,0.012293661999786577
0.002577190243228401,0.008391227806671737,0.0013980224615711555,0.012366440511471294
0.002542553011220079,0.008391701486104951,0.0014443299347505737,0.012378584432075602
0.0025077050698298423,0.008498253155969505,0.0014175231961894282,0.012423481421988776
0.002473964378171742,0.008559619161348583,0.0012938529778723843,0.01232743651739271
0.002441144183686544,0.008385438209145989,0.0015381499028045166,0.01236473229563705
0.0024090080008136966,0.007770253266121817,0.001120262943639611,0.011299524210575125
0.0023780153533532115,0.007259491934697045,0.0013524693552437862,0.010989976643294043
0.0023481713476595574,0.006785421065728415,0.0012183361186575536,0.010351928532045526
0.002319050921208028,0.008045446904633966,0.0013041805760958308,0.011668678401937825
0.0022904405016853984,0.006921490599187613,0.0010858317510746003,0.010297762851947612
0.0022622013534267025,0.006594836941392076,0.0009701277945710236,0.009827166089389801
0.002234690476994205,0.006697966104550892,0.001279033996251275,0.010211690577796372
0.002207919998161883,0.006839886829559491,0.001363463573623241,0.010411270401344616
0.0021818051696575417,0.007181029644016821,0.0014341874109326516,0.010797022224607013
0.0021565066125711976,0.005706746376445342,0.0010342462153062532,0.008897499204322793
0.002132462596433655,0.0053168262150014006,0.0010893405719017684,0.008538629383336823
0.0021096626749733233,0.006056632424723881,0.0010263548662860762,0.00919264996598328
0.0020865575857640073,0.005643956402783591,0.0010507145495433304,0.008781228538090928
0.0020637321130658744,0.006040977486066688,0.0010866761806813967,0.00919138577981396
0.0020403829861425677,0.004876453448691318,0.0011126500206456713,0.008029486455479556
0.0020170526680984174,0.005735608164239527,0.0010036830701632123,0.008756343902501157
0.0019946905173066536,0.0055135755383863404,0.00114319183276479,0.008651457888457784
0.0019732969366022955,0.005108216742908075,0.001099539766883233,0.008181053446393603
0.00195217041442489,0.005452426485634177,0.0011176477009614103,0.008522244601020476
0.0019316189810111254,0.005590564473099196,0.0011225616158758943,0.008644745069986215
0.001911566294800091,0.005522981113854534,0.0009471270244888181,0.008381674433143443
0.0018918473670182267,0.0053609004732972565,0.0009703208054706476,0.008223068645786131
0.0018727062466602222,0.0054660122971482835,0.0011031181827584014,0.008441836726566909
0.0018538335911532893,0.004961338424247709,0.0010310266278638293,0.007846198643264827
0.001835313194107556,0.005294876153786909,0.0008688804639270012,0.007999069811821467
0.00181686242557292,0.004735562548366829,0.0008208507409091975,0.007373275714848947
0.0017988007285863388,0.004450397353957308,0.0010093346766448404,0.007258532759188487
0.0017811411906496581,0.004896429235587427,0.0009577518263846655,0.007635322252621751
0.0017639219963840136,0.004371090633870773,0.0010612600325527468,0.007196272662807533
0.001747188170904129,0.004755205764535902,0.0009372613181289623,0.007439655253568993
0.0017307589331840329,0.00457725355871,0.000837437221256976,0.007145449713151009
0.0017143304960846326,0.004122304034309298,0.0010137458272774776,0.006850380357671408
0.00169800009701021,0.0039836511355707096,0.0008759566098643204,0.0065576078424452395
0.0016821422307313205,0.004354466294912783,0.0008760501237675681,0.0069126586494116715
0.0016665758122514265,0.004128006590256159,0.000873529548218404,0.00666811195072599
0.0016513124605533867,0.00427130699341378,0.0009002168963049365,0.006822836350272103
0.001636441571594005,0.004087324890193815,0.0007761751425355223,0.006499941604323342
0.0016219412145712566,0.004208862676179268,0.000815644629147728,0.006646448519898252
0.0016077875694799717,0.00429881078037523,0.0010115782670110434,0.0069181766168662446
0.0015943261882047782,0.0038253452750970827,0.0008065529082540388,0.0062262243715559005
0.0015811478383063213,0.0039219322826771754,0.0008408670730805323,0.006343947194064029
0.001567399103270262,0.0038931071915572924,0.0009706480307740786,0.006431154325601633
0.0015536065696872816,0.0037927616138539724,0.0008997713129572856,0.00624613949649854
0.00153993485612452,0.0035442000821953737,0.0008591612351780849,0.005943296173497979
0.0015267712520093987,0.0037855565493839787,0.0009132192575239041,0.006225547058917281
0.0015139357403876985,0.003338629661850185,0.000737622669076532,0.005590188071314416
0.0015014509637829602,0.0036315250021355613,0.0008565200730608946,0.0059894960389794165
0.0014896994574654006,0.003243690604848281,0.000782968460024101,0.005516358522337783
0.0014780375535688492,0.0035227098237372986,0.0008421065108945584,0.005842853888200706
0.0014661441114804834,0.0036922129547204098,0.0008941523610773957,0.006052509427278289
0.0014540055120305594,0.0033767012219853474,0.0007906636323616238,0.00562137036637753
0.0014422418885299243,0.0033199678461716367,0.0008554831316029254,0.005617692866304486
0.0014306183858967343,0.003434163556557876,0.0007415573405355559,0.005606339282990166
0.0014193798645784684,0.0035864550683660837,0.0007477429270556499,0.005753577860000202
0.0014087183126004802,0.003490782170486694,0.0007420842633401333,0.005641584746427308
0.0013983321764154848,0.003413665057601183,0.0007271886118728834,0.005539185845889551
0.0013879013332162976,0.0027467678592201696,0.0007750677334960929,0.00490973692593256
0.0013775261526764373,0.003220728040446011,0.0007801851221213485,0.005378439315243797
0.001366805823531005,0.0029681122624932504,0.0006673615141874361,0.005002279600211691
0.0013562002085913763,0.00315601538895501,0.0007430175099149369,0.0052552331074613235
0.0013459383269882324,0.003173601274831032,0.0005763836490621205,0.005095923250881385
0.0013358447778680396,0.0026022085861270735,0.000637722918570904,0.004575776282566017
0.001326241554131555,0.0028304167703311783,0.0007176301894587175,0.004874288513921451
0.0013168393104103055,0.0030296317304732362,0.0006440815089660984,0.00499055254984964
0.0013075709318756624,0.0023185670317254644,0.0007633169050276534,0.00438945486862878
0.0012984479378083953,0.0027344509754169445,0.0006055962772371914,0.0046384951904625315
0.0012894911573384906,0.002799177132018474,0.0005299217294752951,0.00461859001883226
0.0012806500303350595,0.0029026288497959736,0.0006462247711804554,0.004829503651311488
0.0012717241583840664,0.0026583356590160518,0.0005576314414331267,0.004487691258833244
0.0012630073160970411,0.002768371989047716,0.0006181288369745098,0.004649508142119267
0.001254394668382339,0.002326870607867859,0.0006116024002911878,0.004192867676541386
0.0012458974534211385,0.0028403653706075664,0.0006824815344357011,0.004768744358464406
0.0012374545890713217,0.0026046134000028837,0.0006461437559565666,0.004488211745030772
0.0012293716749943219,0.002731084746045199,0.0005709672464109041,0.004531423667450425
0.0012213110670555919,0.002624546477309499,0.0006008909736056082,0.004446748517970699
0.0012132846107659402,0.0023725813787193527,0.0006626993796237741,0.004248565369109067
0.0012052465140167284,0.002362871060153003,0.0007041767188844754,0.004272294293054207
0.0011976944203489761,0.0024624643524783023,0.000646812791914333,0.004306971564741612
0.0011904640407841007,0.00253669526949786,0.0005563346763973344,0.004283493986679295
0.0011830728807474126,0.002560802191603728,0.0007498105331747315,0.004493685605525872
0.0011754957294935662,0.002601736583375518,0.0005805523880119711,0.004357784700881055
0.0011680840756295428,0.0027625858456469523,0.000637047427282382,0.004567717348558878
0.0011607965066084466,0.0026512197070323413,0.0006069480658188173,0.004418964279459605
0.0011535947085391722,0.002331710247138321,0.0006283857595451535,0.0041136907152226464
0.001146449123943997,0.002170735289020684,0.00055520233110891,0.003872386744073591
0.001139573356312592,0.0025055863138386796,0.0005777053840723418,0.004222865054223614
0.0011327337815537743,0.002225504463985772,0.0005102532805537381,0.0038684915260932843
0.0011259365073702583,0.0022280322671164436,0.0006032827331652005,0.0039572515076519025
0.0011191491540414877,0.0020028285194185432,0.0005748190272601966,0.0036967967007202275
0.0011125325032907004,0.002350657399247319,0.0007229734526904675,0.004186163355228487
0.00110606074925765,0.002133886915862713,0.0005199439477799558,0.003759891612900319
0.0010997132009954022,0.0023414433083373733,0.0004423940042111631,0.0038835505135439386
0.0010933338424430892,0.002349393038594681,0.000627369521704778,0.004070096402742548
0.0010870181414968233,0.0019939440145300947,0.0005656653631936961,0.003646627519220614
0.0010808823623338797,0.0019827881705688313,0.0005505742311592469,0.0036142447640619578
0.0010750084872020412,0.002007524608444481,0.000547074470814152,0.0036296075664606743
0.0010689049519703427,0.001975626944469835,0.000601805493175805,0.0036463373896159826
0.0010628046705006295,0.0017765283957656892,0.0005840070005379376,0.003423340066804256
0.00105705266766888,0.0018969029535643464,0.0004555282964613719,0.0034094839176945987
0.0010514972451507187,0.0021157840839229882,0.0005064548481987403,0.003673736177272447
0.0010459295401877007,0.0021840477429017945,0.0005629233938691406,0.003792900676958636
0.001040270610308345,0.002162618615396445,0.0006355421714478286,0.0038384313971526187
0.0010345115838446652,0.0019099956557232557,0.00047489351867983595,0.0034194007582477566
0.0010291040119377469,0.001968523348341132,0.0005064881881368271,0.003504115548415706
0.0010238841157956349,0.002102608955083565,0.0005109118614505486,0.0036374049323297485
0.0010186982072436332,0.0020084116641918425,0.00045225168708990974,0.0034793615585253855
0.0010134846325041643,0.0018704853727825245,0.00047641724387881165,0.0033603872491655006
0.001008217409183209,0.001902499823249309,0.0005206852962335629,0.0034314025286660806
0.0010029949256616817,0.0018317811924405865,0.00047469423522192604,0.0033094703533241942
0.0009979542488475544,0.0019904890436168083,0.0004585100654792693,0.003446953357943632
0.0009929211223179352,0.0019358310340806676,0.0005254904783374599,0.003454242634736063
0.000987848967574739,0.0019964312515926754,0.00044323632799917834,0.0034275165471665927
0.0009828266440304956,0.0018343227087877216,0.0004993816093092743,0.0033165309621274912
0.0009780375263634586,0.0016942081925485554,0.000517282395067125,0.003189528113979139
0.0009733056760146029,0.0018941124452090468,0.0003981211085407432,0.003265539229764393
0.0009685707941537257,0.0016238250217218396,0.0005172815250731952,0.0031096773409487605
0.0009638879501096112,0.0017311246966676952,0.0005058666663775672,0.0032008793131548734
0.0009592462937369474,0.0017642147679740024,0.0004603668554850674,0.0031838279171960172
0.0009546842460630309,0.0017749473436328032,0.0004112425813501172,0.0031408741710459514
0.0009501821348775345,0.0016589419675395018,0.000549121429990235,0.003158245532407271
0.0009457157927972945,0.001775173884419404,0.0005279954928366679,0.0032488851700533663
0.000941234256637248,0.001725501173248593,0.0004574316512191758,0.0031241670811050165
0.0009368965952738836,0.0018395394411185137,0.00048254857134684816,0.003258984607739245
0.0009326377392204872,0.001611207623649774,0.00047429641811304026,0.0030181417809833013
0.0009284525190145261,0.0016790566242278154,0.0005058300367829599,0.0031133391800253016
0.0009242365270449868,0.0015857470717646589,0.00040441778645284514,0.002914401385262491
0.0009200150232799312,0.0016934095033531262,0.0004827485762492633,0.003096173102882321
0.0009158531377683032,0.0018479185602076544,0.0004718437994445206,0.003235615497420478
0.0009117263443656233,0.0015588139038148722,0.0004529399544948384,0.002923480202675334
0.0009076590713969831,0.0016714517272792798,0.000503094102317996,0.003082204900994259
0.0009036351193766291,0.0016737281967756713,0.0004972948787092239,0.0030746581948615246
0.000899765104821942,0.001707679259600239,0.0004264032176382335,0.0030338475820604147
0.0008960824736176714,0.0015855338526633838,0.000517827825265174,0.002999444151546229
0.0008923975775383001,0.001571942249162143,0.0005246072695978165,0.0029889470962982598
0.0008884930802110401,0.0016191600567946247,0.0003893265128353011,0.002896979649840966
0.0008846805852114505,0.0015295963950667534,0.0004269157411904855,0.0028411927214686897
0.0008809059755505971,0.0014240737303602266,0.0005010579969763432,0.002806037702887167
0.000877159185121368,0.0015704566780565749,0.000442769288004886,0.002890385151182829
0.0008734908060936951,0.001653496954968012,0.0003896174807340598,0.002916605241795767
0.0008699243951034334,0.0015428884281758026,0.0004461020471986994,0.002858914870477935
0.0008663125263268501,0.001415290885848347,0.00043879657598647117,0.002720399988161668
0.000862688136293347,0.0015472042882595223,0.0003640201024622911,0.0027739125270151606
0.0008591874872689164,0.0013970080084371283,0.0003684598838486038,0.0026246553795546486
0.0008558411396807253,0.0014977815996816378,0.000396306208200871,0.002749928947563234
0.0008525539532698947,0.0014574943425689848,0.0004310800980546701,0.00274112839389355
0.0008491723376258389,0.0012840272513145712,0.0004446718141772937,0.002577871403117704
0.0008457877580246212,0.0014440179015255533,0.00046419988049970775,0.0027540055400498823
0.0008425111274432162,0.0013732511247270265,0.00037833490333867836,0.002594097155508921
0.0008393368795778915,0.001599669033025801,0.00042359925788722935,0.0028626051704909216
0.0008361875655170703,0.0014124002643273363,0.0003773098463504592,0.0026258976761948656
0.0008330704355551113,0.0011960429378323888,0.000418092827243802,0.002447206200631302
0.0008299333888908632,0.001408988625793165,0.0003973068421881699,0.002636228856872198
0.0008267888249295066,0.0014435415208221471,0.0004280967937386487,0.0026984271394903028
0.0008238215009078315,0.0013577282582305933,0.00044453528823798765,0.002626085047376412
0.0008208899369032793,0.0013685623485071696,0.0004187435061665005,0.0026081957915769496
0.0008178396598372906,0.0013313469330924607,0.0003794522961622187,0.00252863888909197
0.0008147886355714262,0.0012912243810683,0.0003850197271541421,0.0024910327437938683
0.0008117819960881533,0.0014126700913284604,0.00045044733320400316,0.002674899420620617
0.0008088021570281518,0.0013052844489208821,0.00039759266443997277,0.0025116792703890065
0.0008058447762727389,0.0013081989798922273,0.000415240094085368,0.002529283850250334
0.0008029929781475597,0.0014676151708182769,0.0003798514791123033,0.00265045962807814
0.0008001788536382312,0.0013051509473131688,0.0004082285063023554,0.002513558307253756
0.0007974366554653933,0.0012643126625830313,0.00042778243388434754,0.0024895317519327722
0.0007947266276778111,0.001304418450150956,0.0003900889324963628,0.00248923401032513
0.0007921016472105971,0.001311416458960526,0.0003190144597482508,0.0024225325659193737
0.0007895342877783279,0.0013465742372690491,0.00037239441880718854,0.0025085029438545654
0.0007867742664452292,0.0012845121722385195,0.0003777077847876334,0.002448994223471382
0.0007839800676387898,0.00130098404760858,0.0003866441156602525,0.002471608230907622
0.0007812255576113203,0.0012466055882110003,0.0003872911849122269,0.002415122330734548
0.0007785943765559754,0.0012907555194551891,0.0003518082871941051,0.0024211581832052696
0.0007759986563171498,0.0012324086992587249,0.0003292575432586221,0.0023376648988344966
0.0007734037345841047,0.0012622843279397704,0.0003338003744984424,0.002369488437022317
